SPECIES,ENGL_NAME,STI,EURING
Prunella collaris,Alpine Accentor,11.4960223023,
Apus melba,Alpine Swift,14.7487858791,
Acrocephalus paludicola,Aquatic Warbler,12.3617821452,12420
Sterna paradisaea,Arctic Tern,6.7214988279,06160
Phylloscopus borealis,Arctic Warbler,5.4723833661,12950
Uria aalge,Atlantic Murre,9.5889791859,06340
Fratercula arctica,Atlantic Puffin,8.0917042345,06540
Ichthyaetus audouinii,Audouin's Gull,18.6662598707,
Parus cyanus,Azure Tit,11.7753518129,
Cyanopica cyanus,Azure-winged Magpie,17.5572267179,
Zapornia pusilla,Baillon's Crake,15.3497102614,04110
Oceanodroma castro,Band-rumped Storm-petrel,17.4695670485,
Limosa lapponica,Bar-tailed Godwit,3.2516240678,05340
Alectoris barbara,Barbary Partridge,17.9565222525,
Tyto alba,Barn Owl,13.9906366009,07350
Hirundo rustica,Barn Swallow,12.4305273248,09920
Branta leucopsis,Barnacle Goose,9.2841908871,01670
Sylvia nisoria,Barred Warbler,12.8776226593,12730
Bucephala islandica,Barrow's Goldeneye,3.0456682175,
Anser fabalis,bean goose,4.2945434102,
Panurus biarmicus,Bearded Reedling,13.8780278318,13640
Anthus berthelotii,Berthelot's Pipit,17.5180059524,
Cygnus columbianus,Bewick's Swan,0.7404718829,
Francolinus francolinus,Black Francolin,17.6034248096,
Tetrao tetrix,Black Grouse,8.9964805261,03320
Cepphus grylle,Black Guillemot,7.4556643173,06380
Milvus migrans,Black Kite,13.4665896149,02380
Phoenicurus ochruros,Black Redstart,13.2394438706,11210
Ciconia nigra,Black Stork,13.1076611128,01310
Chlidonias niger,Black Tern,13.0082465521,06270
Oenanthe leucura,Black Wheatear,17.0870963247,
Dryocopus martius,Black Woodpecker,11.1193962821,08630
Pterocles orientalis,Black-bellied Sandgrouse,16.8934761377,
Nycticorax nycticorax,Black-crowned Night Heron,15.1905388423,01040
Emberiza melanocephala,Black-headed Bunting,16.637389023,18810
Chroicocephalus ridibundus,Black-headed Gull,11.0679667544,05820
Rissa tridactyla,Black-legged Kittiwake,7.3873668048,06020
Podiceps nigricollis,Black-necked Grebe,13.3391366196,00120
Limosa limosa,Black-tailed Godwit,12.0468335512,05320
Prunella atrogularis,Black-throated Accentor,3.8642085787,
Gavia arctica,Black-throated Loon,6.8298651422,00030
Elanus caeruleus,Black-winged Kite,17.6925590282,
Glareola nordmanni,Black-winged Pratincole,15.2276734574,04670
Himantopus himantopus,Black-winged Stilt,16.2910576132,04550
Sylvia atricapilla,Blackcap,12.6192368528,12770
Monticola solitarius,Blue Rock Thrush,16.3664243982,
Cyanistes caeruleus,Blue Tit,12.7367473555,14620
Merops persicus,Blue-cheeked Bee-eater,14.7569191465,
Luscinia svecica,Bluethroat,10.1597734578,11060
Acrocephalus dumetorum,Blyth's Reed Warbler,9.5123672859,12480
Bombycilla garrulus,Bohemian Waxwing,5.7732088876,10480
Aquila fasciata,Bonelli's Eagle,16.8333834248,
Hieraaetus pennatus,Booted Eagle,15.1247451755,02980
Iduna caligata,Booted Warbler,11.8382462894,
Fringilla montifringilla,Brambling,7.0305345803,16380
Branta bernicla,brent goose,-4.5976922092,
Calidris falcinellus,Broad-billed Sandpiper,4.9733644757,05140
Uria lomvia,Brünnich's Murre,1.035541019,
Bulweria bulwerii,Bulwer's Petrel,17.7120982143,
Melanocorypha calandra,Calandra Lark,16.124198258,
Callipepla californica,California Quail,14.2968468468,
Branta canadensis,canada goose,9.5489315049,
Corvus corone,carrion crow/hooded crow,12.1293990446,
Charadrius asiaticus,Caspian Plover,16.2644926524,
Tetraogallus caspius,Caspian Snowcock,11.135009453,
Hydroprogne caspia,Caspian Tern,10.2515622896,06060
Bubulcus ibis,Cattle Egret,18.2106677423,
Tetrao mlokosiewiczi,Caucasian Grouse,10.9387748408,
Tetraogallus caucasicus,Caucasian Snowcock,8.5667279867,
Cettia cetti,Cetti's Warbler,15.9492001703,
Alectoris chukar,Chukar,16.2056005648,
Emberiza cineracea,Cinereous Bunting,19.264756096,
Emberiza cirlus,Cirl Bunting,15.054509048,
Serinus citrinella,Citril Finch,11.353152804,
Motacilla citreola,Citrine Wagtail,12.5405548291,10180
Periparus ater,Coal Tit,11.9045668053,14610
Ficedula albicollis,Collared Flycatcher,13.060432282,13480
Glareola pratincola,Collared Pratincole,17.4814415676,04650
Turdus merula,Common Blackbird,12.5843398181,11870
Buteo buteo,Common Buzzard,12.6973693303,02870
Fringilla coelebs,Common Chaffinch,12.2951633877,16360
Fulica atra,Common Coot,12.9624637063,04290
Grus grus,Common Crane,9.5005692263,04330
Loxia curvirostra,Common Crossbill,10.4943181045,16660
Cuculus canorus,Common Cuckoo,12.1394391784,07240
Somateria mollissima,Common Eider,8.1688294838,02060
Bucephala clangula,Common Goldeneye,8.4742927927,02180
Locustella naevia,Common Grasshopper Warbler,11.7684221003,12360
Tringa nebularia,Common Greenshank,6.4505313773,05480
Delichon urbicum,Common House Martin,12.3470551373,10010
Falco tinnunculus,Common Kestrel,12.4263636442,03040
Alcedo atthis,Common Kingfisher,13.5319163712,08310
Carduelis cannabina,Common Linnet,13.1603552715,16600
Pica pica,Common Magpie,12.155826028,15490
Gallinula chloropus,Common Moorhen,13.3437206998,04240
Acridotheres tristis,Common Myna,14.3331111111,
Luscinia megarhynchos,Common Nightingale,14.4948782033,11040
Phasianus colchicus,Common Pheasant,12.8650410671,03940
Aythya ferina,Common Pochard,12.445391892,01980
Coturnix coturnix,Common Quail,13.6002736383,03700
Corvus corax,Common Raven,11.7378412998,15720
Tringa totanus,Common Redshank,11.0359375128,05460
Phoenicurus phoenicurus,Common Redstart,11.3098485667,11220
Emberiza schoeniclus,Common Reed Bunting,11.2704483494,18770
Charadrius hiaticula,Common Ringed Plover,8.2214626932,04700
Carpodacus erythrinus,Common Rosefinch,10.348256227,16790
Actitis hypoleucos,Common Sandpiper,11.204752038,05560
Melanitta nigra,Common Scoter,4.2259136478,02130
Tadorna tadorna,Common Shelduck,12.0434493446,01730
Gallinago gallinago,Common Snipe,10.2670472691,05190
Sturnus vulgaris,Common Starling,11.8027600322,15820
Apus apus,Common Swift,12.4470483242,07950
Anas crecca,Common Teal,10.071290709,01840
Sterna hirundo,Common Tern,11.4396148713,06150
Estrilda astrild,Common Waxbill,18.400379847,
Sylvia communis,Common Whitethroat,12.6535890847,12750
Columba palumbus,Common Wood Pigeon,12.2214205187,06700
Emberiza calandra,Corn Bunting,14.2313581317,18820
Crex crex,Corn Crake,11.9688491073,04210
Sitta whiteheadi,Corsican Nuthatch,15.8651771584,
Calonectris diomedea,Cory's Shearwater,18.5569052418,
Ptyonoprogne rupestris,Crag Martin,14.4733603417,
Galerida cristata,Crested Lark,14.4982323391,09720
Acridotheres cristatellus,Crested Myna,10.9762310606,
Lophophanes cristatus,Crested Tit,11.7118025203,14540
Emberiza caesia,Cretzschmar's Bunting,17.9868031147,
Pelecanus crispus,Dalmatian Pelican,15.2608208009,
Turdus ruficollis,Dark-throated Thrush,4.0357353211,
Sylvia undata,Dartford Warbler,15.8211406462,12620
Anthropoides virgo,Demoiselle Crane,15.6535752551,04410
Calidris alpina,Dunlin,7.0663752664,05120
Prunella modularis,Dunnock,10.9083374064,10840
Chersophilus duponti,Dupont's Lark,14.9653062548,
Alopochen aegyptiaca,Egyptian Goose,12.393051119,01700
Neophron percnopterus,Egyptian Vulture,15.3773789116,
Falco eleonorae,Eleonora's Falcon,18.7438968456,
Aegypius monachus,Eurasian Black Vulture,16.1423263645,
Pyrrhula pyrrhula,Eurasian Bullfinch,10.756294956,17100
Streptopelia decaocto,Eurasian Collared Dove,12.9162282666,06840
Numenius arquata,Eurasian Curlew,10.0493203009,05410
Charadrius morinellus,Eurasian Dotterel,5.3850226206,04820
Bubo bubo,Eurasian Eagle Owl,11.8717555411,07440
Oriolus oriolus,Eurasian Golden Oriole,13.4707159049,15080
Gyps fulvus,Eurasian Griffon Vulture,15.2044334089,
Falco subbuteo,Eurasian Hobby,12.6787682767,03100
Upupa epops,Eurasian Hoopoe,14.1794185219,08460
Garrulus glandarius,Eurasian Jay,12.466780849,15390
Sitta europaea,Eurasian Nuthatch,12.7946675987,14790
Haematopus ostralegus,Eurasian Oystercatcher,10.4739718085,04500
Remiz pendulinus,Eurasian Penduline Tit,13.7399153521,14900
Glaucidium passerinum,Eurasian Pygmy Owl,8.6304441647,07510
Carduelis spinus,Eurasian Siskin,10.2425165856,16540
Alauda arvensis,Eurasian Skylark,12.1983199326,09760
Accipiter nisus,Eurasian Sparrowhawk,11.9162821341,02690
Platalea leucorodia,Eurasian Spoonbill,15.2992257968,01440
Passer montanus,Eurasian Tree Sparrow,13.070887931,15980
Certhia familiaris,Eurasian Treecreeper,11.119463211,14860
Anas penelope,Eurasian Wigeon,6.6829266847,
Scolopax rusticola,Eurasian Woodcock,10.6010955955,05290
Jynx torquilla,Eurasian Wryneck,11.8812540667,08480
Merops apiaster,European Bee-eater,15.3795700333,08400
Pluvialis apricaria,European Golden Plover,7.003152864,04850
Carduelis carduelis,European Goldfinch,13.4542440183,16530
Picus viridis,European Green Woodpecker,12.9413688865,08560
Carduelis chloris,European Greenfinch,12.6006224966,
Larus argentatus,European Herring Gull,9.0583381929,05920
Pernis apivorus,European Honey-buzzard,11.9608484505,02310
Caprimulgus europaeus,European Nightjar,13.110333547,07780
Ficedula hypoleuca,European Pied Flycatcher,10.4275102213,13490
Acrocephalus scirpaceus,European Reed Warbler,13.1524057431,12510
Erithacus rubecula,European Robin,11.9984458235,10990
Coracias garrulus,European Roller,14.8170350347,
Otus scops,European Scops Owl,15.4051046174,07390
Serinus serinus,European Serin,13.8814196118,16400
Phalacrocorax aristotelis,European Shag,12.5428143639,
Saxicola rubicola,European Stonechat,13.9903207102,11390
Hydrobates pelagicus,European Storm-petrel,13.9624652971,00510
Streptopelia turtur,European Turtle Dove,13.7662137901,06870
Aythya nyroca,Ferruginous Duck,14.3405138677,02020
Turdus pilaris,Fieldfare,10.0287125382,11980
Oenanthe finschii,Finsch's Wheatear,16.1007205323,
Serinus pusillus,Fire-fronted Serin,9.7974418149,
Regulus ignicapilla,Firecrest,13.1999439071,13150
Anas strepera,Gadwall,12.5158986156,
Sylvia borin,Garden Warbler,11.3163422901,12760
Anas querquedula,Garganey,12.389627827,01910
Larus hyperboreus,Glaucous Gull,-0.6919898898,05990
Plegadis falcinellus,Glossy Ibis,16.1132293666,01360
Regulus regulus,Goldcrest,10.8075146552,13140
Aquila chrysaetos,Golden Eagle,10.737820817,02960
Chrysolophus pictus,Golden Pheasant,12.019509631,
Mergus merganser,Goosander,7.9118621485,02230
Botaurus stellaris,Great Bittern,13.1076210929,00950
Larus marinus,Great Black-backed Gull,8.3694639418,06000
Otis tarda,Great Bustard,15.640742912,04460
Phalacrocorax carbo,Great Cormorant,12.4695479275,00720
Podiceps cristatus,Great Crested Grebe,12.6860788894,00090
Ardea alba,Great Egret,14.8916063035,
Strix nebulosa,Great Grey Owl,6.8558617882,07660
Lanius excubitor,Great Grey Shrike,11.2044136127,15200
Gavia immer,Great Northern Loon,4.2097109413,00040
Acrocephalus arundinaceus,Great Reed Warbler,13.8793523116,12530
Carpodacus rubicilla,Great Rosefinch,9.5286777936,
Stercorarius skua,Great Skua,5.0753006784,05690
Gallinago media,Great Snipe,8.1933367604,05200
Clamator glandarius,Great Spotted Cuckoo,16.705954543,
Dendrocopos major,Great Spotted Woodpecker,12.1154284266,08760
Parus major,Great Tit,12.343727765,14640
Pelecanus onocrotalus,Great White Pelican,14.67445266,
Phoenicopterus roseus,Greater Flamingo,19.1058135837,
Charadrius leschenaultii,Greater Sand Plover,14.6817099567,
Aythya marila,Greater Scaup,4.3711269674,02040
Calandrella brachydactyla,Greater Short-toed Lark,16.2800301304,09680
Clanga clanga,Greater Spotted Eagle,12.2125784204,02930
Anser albifrons,Greater White-fronted Goose,1.4020604804,01590
Tringa ochropus,Green Sandpiper,9.8785200822,05530
Phylloscopus trochiloides,Greenish Warbler,9.7617129433,12930
Ardea cinerea,Grey Heron,12.6943991523,01220
Perdix perdix,Grey Partridge,12.8463889005,03670
Phalaropus fulicarius,Grey Phalarope,4.150416352,
Pluvialis squatarola,Grey Plover,1.0104301147,04860
Motacilla cinerea,Grey Wagtail,12.9122079488,10190
Picus canus,Grey-headed Woodpecker,12.0605754782,08550
Anser anser,Greylag Goose,11.1956416463,01610
Gelochelidon nilotica,Gull-billed Tern,17.0430205323,06050
Falco rusticolus,Gyr Falcon,3.744195596,03180
Histrionicus histrionicus,Harlequin Duck,3.5649961244,
Coccothraustes coccothraustes,Hawfinch,12.9763477132,17170
Bonasa bonasia,Hazel Grouse,9.7370954848,
Circus cyaneus,Hen Harrier,10.6284445855,02610
Carduelis hornemanni,Hoary Redpoll,3.0886828702,16640
Podiceps auritus,Horned Grebe,8.2996466285,00110
Eremophila alpestris,Horned Lark,7.8950912062,09780
Passer domesticus,House Sparrow,12.2628071769,15910
Larus glaucoides,Iceland Gull,-2.9490311399,05980
Hippolais icterina,Icterine Warbler,11.3916568563,12590
Oenanthe isabellina,Isabelline Wheatear,15.5466304969,
Serinus canaria,Island Canary,17.4090501099,
Pagophila eburnea,Ivory Gull,-8.9516053419,06040
Lymnocryptes minimus,Jack Snipe,5.828813561,05180
Charadrius alexandrinus,Kentish Plover,16.3071703744,04770
Somateria spectabilis,King Eider,0.3484709229,
Sitta krueperi,Krueper's Nuthatch,15.558043652,
Chrysolophus amherstiae,Lady Amherst's Pheasant,12.2080256434,
Gypaetus barbatus,Lammergeier,12.7929708067,
Locustella lanceolata,Lanceolated Warbler,6.3786241919,
Falco biarmicus,Lanner Falcon,16.8611449212,
Calcarius lapponicus,Lapland Longspur,4.063825744,18470
Streptopelia senegalensis,Laughing Dove,14.8562606076,
Oceanodroma leucorhoa,Leach's Storm-petrel,8.4156478171,00550
Larus fuscus,Lesser Black-backed Gull,8.9178677716,
Thalasseus bengalensis,Lesser Crested-Tern,18.1614782695,
