"pk_species","ssi","ssi_old","ssi_2007","sti","sti_europe","thermal_niche_mean","thermal_niche_range","thermal_niche_max","thermal_niche_min","stri","exp_stri","trophic_vegetation","trophic_invertebrate","trophic_vertebrate"
"_ANTVIR",,,,,15.6535752551,,,,,,,,,
"_EMBRUS",,,,,6.3354860208,,,,,,,,,
"ACCGEN",1.86087801475756,,,,11.8007973825,,,,,3,20.09,,,
"ACCNIS",0.614413458785761,0.787363424,0.620015094,13.8629324,11.9162821341,12.3454,15.773,20.0974,4.3244,3,20.09,0,0,100
"ACRAGR",,,,,15.6050239736,,,,,,,,,
"ACRARU",,,,,13.8793523116,,,,,,,,,
"ACRDUM",,,,,9.5123672859,,,,,,,,,
"ACRMEL",,,,,16.5739942379,,,,,,,,,
"ACRPAL",,,,,12.3617821452,,,,,,,,,
"ACRRIS",1.70476371655822,,,,12.248077272,,,,,2,7.39,,,
"ACRSCH",2.50427683823866,,,,11.3913898283,,,,,1.95,7.03,,,
"ACRSCI",2.08313889988748,,,,13.1524057431,,,,,1.95,7.03,,,
"ACTHYP",,,,,11.204752038,,,,,,,,,
"AEGCAU",0.585681145288726,0.623159601,0.438563915,14.4881243,12.6607518772,12.9783,13.3142,19.328,6.01376,1.95,7.03,5,95,0
"AEGFUN",,,,,9.1005501486,,,,,,,,,
"AEGMON",,,,,16.1423263645,,,,,,,,,
"AIXGAL",,,,,12.0188786985,,,,,,,,,
"AIXSPO",,,,,12.3347769782,,,,,,,,,
"ALAARV",1.18758117577191,1.155395406,0.92195468,14.14972315,12.1983199326,12.508,15.4477,19.7438,4.29613,1.25,3.49,75,25,0
"ALCATT",2.18544984697147,,,,13.5319163712,,,,,2.81,16.61,,,
"ALCTOR",,,,,8.983234013,,,,,,,,,
"ALEBAR",,,,,17.9565222525,,,,,,,,,
"ALECHU",,,,,16.2056005648,,,,,,,,,
"ALEGRA",,,,,13.1661273716,,,,,,,,,
"ALERUF",1.10584370132982,1.097302052,0.92038974,16.06919185,14.8075058251,15.2367,11.2723,20.5323,9.26,1.1,3,90,10,0
"ALLALL",,,,,-8.2647376082,,,,,,,,,
"ALOAEG",,,,,12.393051119,,,,,,,,,
"ANAACU",,,,,8.5273453088,,,,,,,,,
"ANACLY",,,,,11.7556216717,,,,,,,,,
"ANACRE",,,,,10.071290709,,,,,,,,,
"ANAPEN",,,,,6.6829266847,,,,,,,,,
"ANAPLA",,,,,11.8110548425,,,,,,,,,
"ANAQUE",,,,,12.389627827,,,,,,,,,
"ANASTR",,,,,12.5158986156,,,,,,,,,
"ANSALB",,,,,1.4020604804,,,,,,,,,
"ANSANS",,,,,11.1956416463,,,,,,,,,
"ANSBRA",,,,,3.3589566139,,,,,,,,,
"ANSERY",,,,,2.0354466746,,,,,,,,,
"ANSFAB",,,,,4.2945434102,,,,,,,,,
"ANTCAM",2.42803293252685,1.995744174,1.501062619,16.38342044,14.4289502352,15.7224,11.5149,21.4068,9.89193,1.95,7.03,5,95,0
"ANTCER",,,,,3.1344512091,,,,,,,,,
"ANTHOD",,,,,4.9239624575,,,,,,,,,
"ANTPRA",1.37754621681906,1.374586811,1.261914419,11.82668956,9.9487726902,9.85028,13.4452,15.2037,1.75849,1.75,5.75,25,75,0
"ANTSPI",,,,,11.6824589944,,,,,,,,,
"ANTSPISPI",,,,,11.6824589944,,,,,,,,,
"ANTTRI",0.729306746778496,0.910273494,0.705308676,13.25225969,11.2439352645,11.6459,13.9098,17.9549,4.04508,1.95,7.03,5,95,0
"APUAPU",1.27125423716983,1.29826821,1.240458641,14.38370252,12.4470483242,13.2293,16.075,21.2854,5.21042,2,7.39,0,100,0
"APUCAF",,,,,19.2680115916,,,,,,,,,
"APUMEL",,,,,14.7487858791,,,,,,,,,
"APUPAL",,,,,17.4132187993,,,,,,,,,
"AQUCHR",,,,,10.737820817,,,,,,,,,
"AQUCLA",,,,,12.2125784204,,,,,,,,,
"AQUPOM",,,,,12.6812933771,,,,,,,,,
"ARDCIN",,,,,12.6943991523,,,,,,,,,
"ARDPUR",,,,,15.2459728804,,,,,,,,,
"ARDRAL",,,,,15.9222826178,,,,,,,,,
"AREINT",,,,,7.7359447649,,,,,,,,,
"ASIFLA",,,,,9.6200242401,,,,,,,,,
"ASIOTU",,,,,12.2940439872,,,,,,,,,
"ATHNOC",,,,,14.2083192272,,,,,,,,,
"AYTFER",,,,,12.445391892,,,,,,,,,
"AYTFUL",,,,,10.1385920012,,,,,,,,,
"AYTMAR",,,,,4.3711269674,,,,,,,,,
"AYTNYR",,,,,14.3405138677,,,,,,,,,
"BOMGAR",,,,,5.7732088876,,,,,,,,,
"BONBON",,,,,9.7370954848,,,,,,,,,
"BOTSTE",,,,,13.1076210929,,,,,,,,,
"BRABER",,,,,-4.5976922092,,,,,,,,,
"BRACAN",,,,,9.5489315049,,,,,,,,,
"BRALEU",,,,,9.2841908871,,,,,,,,,
"BUBBUB",,,,,11.8717555411,,,,,,,,,
"BUBIBI",,,,,18.2106677423,,,,,,,,,
"BUCCLA",,,,,8.4742927927,,,,,,,,,
