"pk_species";"indicator";"habitat_specialisation_f";"habitat_specialisation";"european_fbi";"french_fbi";"montane_lehikoinen"
"GLANOR";f;"non";"";f;f;f
"AYTFERNYR";f;"non";"";f;f;f
"ANTSPISPI";f;"non";"";f;f;f
"DENVID";f;"non";"";f;f;f
"DIOMEL";f;"non";"";f;f;f
"BUTVIR";f;"non";"";f;f;f
"LARHEU";f;"non";"";f;f;f
"LYNPAR";f;"non";"";f;f;f
"PHAFUL";f;"non";"";f;f;f
"PLUFUL";f;"non";"";f;f;f
"PUFYEL";f;"non";"";f;f;f
"ROSBEN";f;"non";"";f;f;f
"TRICIN";f;"non";"";f;f;f
"ANSFABJOH";f;"non";"";f;f;f
"ANTPETLIT";f;"non";"";f;f;f
"CORCORSAR";f;"non";"";f;f;f
"LARARGARG";f;"non";"";f;f;f
"PHYCOLCOL";t;"milieux forestiers";"woodland";f;f;f
"PYRPYREUR";t;"milieux forestiers";"woodland";f;f;f
"GAVSTE";f;"non";"";f;f;f
"GAVARC";f;"non";"";f;f;f
"GAVIMM";f;"non";"";f;f;f
"GAVADA";f;"non";"";f;f;f
"PODPOD";f;"non";"";f;f;f
"PODAUR";f;"non";"";f;f;f
"DIOEXU";f;"non";"";f;f;f
"BULBUL";f;"non";"";f;f;f
"CALDIO";f;"non";"";f;f;f
"PUFGRA";f;"non";"";f;f;f
"PUFGRI";f;"non";"";f;f;f
"PUFPUF";f;"non";"";f;f;f
"PUFASS";f;"non";"";f;f;f
"LARCAC";f;"non";"";f;f;f
"LARMIC";f;"non";"";f;f;f
"LIMICO";f;"non";"";f;f;f
"MERPER";f;"non";"";f;f;f
"MOTIMA";f;"non";"";f;f;f
"PASITA";f;"non";"";f;f;f
"PICTRI";f;"non";"";f;f;f
"PINSON";f;"non";"";f;f;f
"PODGRI";f;"non";"";f;f;f
"PODNIG";f;"non";"";f;f;f
"RAPACE";f;"non";"";f;f;f
"SERCOR";f;"non";"";f;f;f
"TACRUF";f;"non";"";f;f;f
"TURDUS";f;"non";"";f;f;f
"AQUADA";f;"non";"";f;f;f
"CHAMOR";f;"non";"";f;f;f
"FULGLA";f;"non";"";f;f;f
"ANTPET";f;"non";"";f;f;f
"OCEOCE";f;"non";"";f;f;f
"HYDPEL";f;"non";"";f;f;f
"OCEMON";f;"non";"";f;f;f
"OCECAS";f;"non";"";f;f;f
"PHACARCAR";f;"non";"";f;f;f
"PHACARSIN";f;"non";"";f;f;f
"PHAARIARI";f;"non";"";f;f;f
"PHAARIDES";f;"non";"";f;f;f
"PHAPYG";f;"non";"";f;f;f
"PELONO";f;"non";"";f;f;f
"PELCRI";f;"non";"";f;f;f
"FREMAG";f;"non";"";f;f;f
"EGRGUL";f;"non";"";f;f;f
"CYGCYG";f;"non";"";f;f;f
"ANSFAB";f;"non";"";f;f;f
"ANSFABFAB";f;"non";"";f;f;f
"ANSFABROS";f;"non";"";f;f;f
"ANSBRA";f;"non";"";f;f;f
"ANSALB";f;"non";"";f;f;f
"ANSALBALB";f;"non";"";f;f;f
"ANSALBFLA";f;"non";"";f;f;f
"ANSERY";f;"non";"";f;f;f
"ANSANSANS";f;"non";"";f;f;f
"ANSANSRUB";f;"non";"";f;f;f
"ANSCAE";f;"non";"";f;f;f
"ANSCAECAE";f;"non";"";f;f;f
"ANSCAEATL";f;"non";"";f;f;f
"ANSANS";f;"non";"";f;f;f
"BOTSTE";f;"non";"";f;f;f
"CICCIC";f;"non";"";t;f;f
"CICNIG";f;"non";"";f;f;f
"CYGOLO";f;"non";"";f;f;f
"EGRGAR";f;"non";"";f;f;f
"IXOMIN";f;"non";"";f;f;f
"NYCNYC";f;"non";"";f;f;f
"OCELEU";f;"non";"";f;f;f
"PHAARI";f;"non";"";f;f;f
"PHACAR";f;"non";"";f;f;f
"PHORUB";f;"non";"";f;f;f
"PLALEU";f;"non";"";f;f;f
"PLEFAL";f;"non";"";f;f;f
"SULBAS";f;"non";"";f;f;f
"THRAET";f;"non";"";f;f;f
"EGRALB";f;"non";"";f;f;f
"ANSIND";f;"non";"";f;f;f
"ARDCIN";f;"non";"";f;f;f
"ARDPUR";f;"non";"";f;f;f
"ARDRAL";f;"non";"";f;f;f
"BRABERBER";f;"non";"";f;f;f
"BRABERHRO";f;"non";"";f;f;f
"BRARUF";f;"non";"";f;f;f
"ANAAME";f;"non";"";f;f;f
"ANAFOR";f;"non";"";f;f;f
"ANARUB";f;"non";"";f;f;f
"ANADIS";f;"non";"";f;f;f
"AYTCOL";f;"non";"";f;f;f
"AYTNYR";f;"non";"";f;f;f
