pk_species,euring,taxref,indicator,habitat_specialisation_f,habitat_specialisation,european_fbi,french_fbi,montane_lehikoinen,french_trim
ACCGEN,2670,2891,FALSE,,,FALSE,FALSE,FALSE,FALSE
ACCNIS,2690,2895,FALSE,,,FALSE,FALSE,FALSE,TRUE
ACRAGR,12470,199459,FALSE,,,FALSE,FALSE,FALSE,FALSE
ACRARU,12530,4198,FALSE,,,FALSE,FALSE,FALSE,TRUE
ACRDUM,12480,4190,FALSE,,,FALSE,FALSE,FALSE,FALSE
ACRMEL,12410,4180,FALSE,,,FALSE,FALSE,FALSE,FALSE
ACRPAL,12420,4184,FALSE,,,FALSE,FALSE,FALSE,FALSE
ACRRIS,12500,4192,FALSE,,,FALSE,FALSE,FALSE,TRUE
ACRSCH,12430,4187,FALSE,,,FALSE,FALSE,FALSE,TRUE
ACRSCI,12510,4195,FALSE,,,FALSE,FALSE,FALSE,TRUE
ACTHYP,5560,2616,FALSE,,,FALSE,FALSE,FALSE,TRUE
ACTMAC,5570,459460,FALSE,,,FALSE,FALSE,FALSE,FALSE
AEGCAU,14370,4342,FALSE,,,FALSE,FALSE,FALSE,TRUE
AEGCAUCAU,14371,804727,FALSE,,,FALSE,FALSE,FALSE,FALSE
AEGCAUROS,14375,,FALSE,,,FALSE,FALSE,FALSE,FALSE
AEGFUN,7700,3533,FALSE,,,FALSE,FALSE,FALSE,FALSE
AEGMON,2550,2869,FALSE,,,FALSE,FALSE,FALSE,FALSE
AGAROS,,,FALSE,,,FALSE,FALSE,FALSE,FALSE
AIXGAL,1780,2776,FALSE,,,FALSE,FALSE,FALSE,FALSE
AIXSPO,1770,2775,FALSE,,,FALSE,FALSE,FALSE,FALSE
ALAARV,9760,3676,TRUE,milieux agricoles,farmland,TRUE,TRUE,TRUE,TRUE
ALCATT,8310,3571,FALSE,,,FALSE,FALSE,FALSE,TRUE
ALCTOR,6360,3388,FALSE,,,FALSE,FALSE,FALSE,FALSE
ALEBAR,3590,2978,FALSE,,,FALSE,FALSE,FALSE,FALSE
ALECHU,3550,2981,FALSE,,,FALSE,FALSE,FALSE,FALSE
ALEGRA,3570,2971,FALSE,,,FALSE,FALSE,TRUE,FALSE
ALERUF,3580,2975,TRUE,milieux agricoles,farmland,TRUE,TRUE,FALSE,TRUE
ALLALL,6470,3396,FALSE,,,FALSE,FALSE,FALSE,FALSE
ALOAEG,1700,459626,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANAACU,1890,1973,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANAAME,1800,1953,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANACLY,1940,1970,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANACRE,1840,1958,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANADIS,1920,1962,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANAFOR,1830,1964,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANAPEN,1790,1950,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANAPLA,1860,1966,FALSE,,,FALSE,FALSE,FALSE,TRUE
ANAQUE,1910,1975,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANARUB,1870,1968,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANASTR,1820,1956,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSALB,1590,2734,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSALBALB,1591,2737,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSALBFLA,1592,2738,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSANS,1610,2741,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSANSANS,1611,2744,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSANSRUB,1612,2745,FALSE,,,FALSE,FALSE,FALSE,FALSE
