annee;IC_inf;csi;IC_sup;se
1989;0;0;0;0
1990;0,00553;0,01846;0,03139;0,01293
1991;0,01059;0,0244;0,03821;0,01381
1992;0,00766;0,02148;0,0353;0,01382
1993;-0,01403843;-0,00009843;0,01384157;0,01394
1994;-0,00101;0,01308;0,02717;0,01409
1995;-0,020035;-0,006185;0,007665;0,01385
1996;-0,004938;0,008662;0,022262;0,0136
1997;0,00858;0,02226;0,03594;0,01368
1998;-0,00094;0,01298;0,0269;0,01392
1999;-0,006853;0,007307;0,021467;0,01416
2000;-0,00195;0,01282;0,02759;0,01477
2001;-0,012327;0,006103;0,024533;0,01843
2002;-0,013891;0,003989;0,021869;0,01788
2003;-0,012465;0,005365;0,023195;0,01783
2004;-0,00379;0,01401;0,03181;0,0178
2005;-0,008956;0,008834;0,026624;0,01779
2006;-0,016185;0,001605;0,019395;0,01779
2007;-0,02461;-0,00683;0,01095;0,01778
2008;-0,024235;-0,006465;0,011305;0,01777
2009;-0,026349;-0,008579;0,009191;0,01777
2010;-0,03052;-0,01275;0,00502;0,01777
2011;-0,026931;-0,009151;0,008629;0,01778
2012;-0,026833;-0,009053;0,008727;0,01778
2013;-0,03527;-0,01748;0,00031;0,01779
2014;-0,04114;-0,02332;-0,0055;0,01782
2015;-0,03989;-0,02202;-0,00415;0,01787
