lieudit,dept,longitude_lambert_93,latitude_lambert_93,nouveau_lieudit
Carré EPS_SITE : 030143_Forêt domaniale de Tronçais,3,673845.54456242,6617531.65710893,030143
Carré EPS_SITE : 030145_Forêt domaniale de Tronçais,3,682338.15948113,6617460.19286575,030145
Carré EPS_SITE : 030523 _Forêt domaniale de Messarges,3,710178.897685724,6601238.36978194,030523
Carré EPS_SITE : EPS-Site  Réseau ONF Maille 579-2252,18,629194.398665478,6685893.98154752,180440
Carré EPS_SITE : EPS-Site  Réseau ONF Carré EPS N°21-0372,21,803216.381712652,6734228.12728572,210372
Carré EPS_SITE : EPS-Site  Réseau ONF Carré EPS N°21-1997,21,856454.478734775,6665983.63331091,211997
Carré EPS_SITE : EPS-Site  Réseau ONF Carré EPS N°21-2091,21,848589.58759007,6660035.47572105,212091
Carré EPS_SITE : EPS-Site  Réseau ONF Maille 773-2312,21,823387.459608671,6744229.08401946,210257
Carré EPS_SITE : EPS-Site  Réseau ONF Maille 773-2314,21,823323.373140849,6746088.33043135,210234
Carré EPS_SITE : EPS-Site  Réseau ONF Maille 775-2312,21,825384.891709075,6744092.13007285,210258
Carré EPS_SITE : EPS-Site  Réseau ONF Maille 777-2312,21,827303.578853901,6744095.74697466,210259
Carré EPS_SITE : EPS-Site  Réseau ONF Maille 779-2310,21,829226.049059854,6742200.65991397,210282
Carré EPS_SITE : Forêt domaniale de Senonches,28,556195.060983648,6828365.26732188,280397
Carré EPS_SITE : EPS-Site  Réseau ONF Carré EPS N°35-0376,35,392112.142022826,6817649.44065121,350376
Carré EPS_SITE : EPS-Site  Réseau ONF Carré EPS N°35-0744,35,361970.49091782,6797906.86721951,350744
Carré EPS_SITE : EPS-Site  Réseau ONF Maille 455-2250,37,505318.381049426,6684847.36607723,370777
Carré EPS n°0136,39,900654.210598179,6667543.33947082,390136
Carré EPS n°0152,39,896539.446088822,6665460.28286473,390152
Carré EPS_SITE : EPS-Site  Réseau ONF Maille 847-2234,39,896539.446088822,6665460.28286473,390152
Carré EPS_SITE : EPS-Site Réseau ONF Maille 847-2234,39,896539.446088822,6665460.28286473,390152
Carré EPS_SITE : EPS-Site  Réseau ONF Maille 847-2236,39,896618.780781575,6667717.88177556,390134
Carré EPS_SITE : EPS-Site  Réseau ONF Maille 851-2236,39,900654.210598179,6667543.33947082,390136
Carré EPS_SITE : EPS-Site Réseau ONF Maille 851-2236,39,900654.210598179,6667543.33947082,390136
Carré EPS_SITE : EPS-Site  Réseau ONF Maille 853-2234,39,902555.788366254,6665568.49987655,350155
Carré EPS_SITE : EPS-Site  Réseau ONF Maille 853-2238,39,902610.957997493,6669664.90836489,390123
Carré EPS_SITE : EPS-Site  Réseau ONF Maille 857-2238,39,906586.785770898,6669530.82874877,390125
Carré EPS_SITE : Forêt domaniale de La Joux,39,32338.8419044487,4441998.59678548,390403
Carré EPS_SITE : Forêt domaniale des Moidons,39,32338.8419044487,4441998.59678548,390425
Carré EPS_SITE : EPS-Site  Réseau ONF Maille 519-2284,41,569189.661739454,6718331.80276237,410913
Carré EPS_SITE : EPS-Site  Réseau ONF Maille 537-2288,41,587449.412864737,6722276.60864871,410841
Carré EPS_SITE : 44-0430,44,337479.33829339,6724253.39563473,440430
Carré EPS_SITE : FD Lisle Charpentière-Champ midi,55,854409.526920966,6869634.18319792,550903
Carré EPS_SITE : ENS Bois de la Comté,63,723027.041313938,6504195.19225723,631199
Carré EPS_SITE : Saint-Pé,65,467313.663337591,6223544.88640599,650489
Carré EPS_SITE : F680610,68,2352485.56582488,5404894.9923682,680610
Carré EPS_SITE : Forêt Domaniale de la Harth-Nord,68,32337.8361658883,4441997.60713026,680490
Carré EPS_SITE : Forêt Domaniale de la Harth-Sud,68,32337.8361658883,4441997.60713026,680648
Carré EPS_SITE : Forêt domaniale de Perseigne,72,498120.24353087,6814855.99472876,720038
Carré EPS_SITE : Forêt domaniale de Sillé le Guillaume,72,471973.967435869,6795085.15586666,720242
Carré EPS_SITE : EPS-Site  Réseau ONF Carré EPS N°76-0152,76,599457.396419566,6977938.39387017,760152
Carré EPS_SITE : EPS-Site  Réseau ONF Carré EPS N°76-1561,76,555027.039665467,6916242.15257119,761561
Carré EPS_SITE : EPS-Site  Réseau ONF Carré EPS N°77-1159,77,672140.393155779,6811605.61289622,771159
Carré EPS_SITE : EPS-Site  Réseau ONF Carré EPS N°77-1229,77,674023.543070284,6807372.510754,771229
Carré EPS_SITE : Fontainebleau-gare de Thomery,77,682034.211044727,6811275.8242037,771164
Carré EPS n°0172,81,32337.8361658885,4441997.60713026,810172
Carré EPS_SITE : F810172,81,32337.8361658883,4441997.60713026,810172
Carré EPS_SITE : FD Grésigne,81,32337.8361658883,4441997.60713026,810172
Carré EPS_SITE : EPS-Site  Réseau ONF Carré EPS N°83-1238,83,974626.959847295,6242957.38941922,831238
Carré EPS_SITE : EPS-Site  Réseau ONF Carré EPS N°83-1302,83,940894.02871028,6239552.12752536,831302
Carré EPS_SITE : Réserve Biologique Intégrale du Mont Ventoux,84,33173.9142282646,4441991.86572192,840192
