"espece";"nom";"nomscientific";"indicateur";"specialisation"
"ACCGEN";"Autour des palombes";"Accipiter gentilis";FALSE;"non"
"ACCNIS";"Epervier d'Europe";"Accipiter nisus";FALSE;"non"
"ACRARU";"Rousserolle turdoïde";"Acrocephalus arundinaceus";FALSE;"non"
"ACRMEL";"Lusciniole à moustaches";"Acrocephalus melanopogon";FALSE;"non"
"ACRPAL";"Phragmite aquatique";"Acrocephalus paludicola";FALSE;"non"
"ACRRIS";"Rousserolle verderolle";"Acrocephalus palustris";FALSE;"non"
"ACRSCH";"Phragmite des joncs";"Acrocephalus schoenobaenus";FALSE;"non"
"ACRSCI";"Rousserolle effarvate";"Acrocephalus scirpaceus";FALSE;"non"
"ACTHYP";"Chevalier guignette";"Actitis hypoleucos";FALSE;"non"
"AEGCAU";"Mésange à longue queue";"Aegithalos caudatus";FALSE;"non"
"AIXGAL";"Canard mandarin";"Aix galericulata";FALSE;"non"
"AIXSPO";"Canard carolin";"Aix sponsa";FALSE;"non"
"ALAARV";"Alouette des champs";"Alauda arvensis";TRUE;"milieux agricoles"
"ALCATT";"Martin-pêcheur d'Europe";"Alcedo atthis";FALSE;"non"
"ALCTOR";"Pingouin torda";"Alca torda";FALSE;"non"
"ALEGRA";"Perdrix bartavelle";"Alectoris graeca";FALSE;"non"
"ALERUF";"Perdrix rouge";"Alectoris rufa";TRUE;"milieux agricoles"
"ALLALL";"Mergule nain";"Alle alle";FALSE;"non"
"ALOAEG";"Ouette d'Egypte";"Alopochen aegyptiaca";FALSE;"non"
"ANAACU";"Canard pilet";"Anas acuta";FALSE;"non"
"ANACLY";"Canard souchet";"Anas clypeata";FALSE;"non"
"ANACRE";"Sarcelle d'hiver";"Anas crecca";FALSE;"non"
"ANAPEN";"Canard siffleur";"Anas penelope";FALSE;"non"
"ANAPLA";"Canard colvert";"Anas platyrhynchos";FALSE;"non"
"ANAQUE";"Sarcelle d'été";"Anas querquedula";FALSE;"non"
"ANASTR";"Canard chipeau";"Anas strepera";FALSE;"non"
"ANSANS";"Oie cendrée";"Anser anser";FALSE;"non"
"ANSIND";"Oie à tête barrée";"Anser indicus";FALSE;"non"
"ANTCAM";"Pipit rousseline";"Anthus campestris";TRUE;"milieux agricoles"
"ANTCER";"Pipit à gorge rousse";"Anthus cervinus";FALSE;"non"
"ANTPET";"Pipit maritime";"Anthus petrosus";FALSE;"non"
"ANTPRA";"Pipit farlouse";"Anthus pratensis";TRUE;"milieux agricoles"
"ANTRIC";"Pipit de Richard";"Anthus richardi";FALSE;"non"
"ANTSPI";"Pipit spioncelle";"Anthus spinoletta";FALSE;"non"
"ANTTRI";"Pipit des arbres";"Anthus trivialis";FALSE;"non"
"APUAPU";"Martinet noir";"Apus apus";TRUE;"milieux bâtis"
"APUMEL";"Martinet à ventre blanc";"Apus melba";FALSE;"non"
"APUPAL";"Martinet pâle";"Apus pallidus";FALSE;"non"
"AQUCHR";"Aigle royal";"Aquila chrysaetos";FALSE;"non"
"ARDCIN";"Héron cendré";"Ardea cinerea";FALSE;"non"
"ARDPUR";"Héron pourpré";"Ardea purpurea";FALSE;"non"
"ARDRAL";"Crabier chevelu";"Ardeola ralloides";FALSE;"non"
"AREINT";"Tournepierre à collier";"Arenaria interpres";FALSE;"non"
"ASIFLA";"Hibou des marais";"Asio flammeus";FALSE;"non"
"ASIOTU";"Hibou moyen-duc";"Asio otus";FALSE;"non"
